,Title,Location,Price,Details,city_Abbottabad,city_Abdul_Hakim,city_Ahmedpur_East,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi
67,"Brand New Flat 900 sq. ft. in Scheme 33 P. B. C. H. Society, Gulshan Town","Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",0.005775577557755776,A Brand New 900 square feet Extra O,0,0,0,0,1,0,0
68,Askari 5 Flat Sized 2700 Square Feet Is Available,"Askari 5, Malir Cantonment",0.020627062706270627,If you are interested in buying a F,0,0,0,0,1,0,0
69,2700 Square Feet Flat Available In Askari 5 - Sector J For sale,"Askari 5 - Sector J, Askari 5",0.0007013201320132013,A Flat like this can be hard to com,0,0,0,0,1,0,0
70,luxurious Full floor 03 bed DD apartment available for sale,"Nishat Commercial Area, DHA Phase 6",0.0,"Proper family building

Full floor",0,0,0,0,1,0,0
71,luxurious proper 02 bed DD apartment available for sale,"Sehar Commercial Area, DHA Phase 7",0.0,"proper family building

2 bedroom i",0,0,0,0,1,0,0
72,proper 03 bed DD apartment available for sale,"Clifton, Karachi",0.0,"Clifton block 5 
Small complex 
3 b",0,0,0,0,1,0,0
73,luxurious proper 02 bed DD apartment available for sale,"Sehar Commercial Area, DHA Phase 7",0.0007343234323432344,"proper family building

Bungalow fa",0,0,0,0,1,0,0
74,luxurious proper 02 bed DD apartment available for sale with lift,"Bukhari Commercial Area, DHA Phase 6",0.0,"proper family building

proper 02 b",0,0,0,0,1,0,0
75,Owner Built 1 Kanal High Quality House With Large Lawn And Back Open To Park,"Bahria Town Phase 4, Bahria Town Rawalpindi",0.06188118811881189,Triple Storey Owner Built 1 Kanal H,0,0,0,0,0,0,1
76,Low Price 10 Marla Corner House With Lawn At A Peaceful Location,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Corner 10 Marla House With Lawn 
Pr",0,0,0,0,0,0,1
77,Amazing 12 Marla House On 60ft Boulevard Near Future World School,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.019562706270627065,Amazing 12 Marla House On 60ft Boul,0,0,0,0,0,0,1
78,House available forsale in green villas adiala road rawalpindi,"Snober City - Green Villas, Snober City",0.0,Brand new proper double unit house,0,0,0,0,0,0,1
79,Brand new house available forsale in adiala road snober city rawalpindi,"Snober City, Adiala Road",0.0,Brand new house available forsale i,0,0,0,0,0,0,1
