,Title,Location,Price,Details,city
67,"Brand New Flat 900 sq. ft. in Scheme 33 P. B. C. H. Society, Gulshan Town","Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",70000000.0,A Brand New 900 square feet Extra O,Karachi
68,Askari 5 Flat Sized 2700 Square Feet Is Available,"Askari 5, Malir Cantonment",250000000.0,If you are interested in buying a F,Karachi
69,2700 Square Feet Flat Available In Askari 5 - Sector J For sale,"Askari 5 - Sector J, Askari 5",8500000.0,A Flat like this can be hard to com,Karachi
70,luxurious Full floor 03 bed DD apartment available for sale,"Nishat Commercial Area, DHA Phase 6",0.0,"Proper family building

Full floor",Karachi
71,luxurious proper 02 bed DD apartment available for sale,"Sehar Commercial Area, DHA Phase 7",0.0,"proper family building

2 bedroom i",Karachi
72,proper 03 bed DD apartment available for sale,"Clifton, Karachi",0.0,"Clifton block 5 
Small complex 
3 b",Karachi
73,luxurious proper 02 bed DD apartment available for sale,"Sehar Commercial Area, DHA Phase 7",8900000.0,"proper family building

Bungalow fa",Karachi
74,luxurious proper 02 bed DD apartment available for sale with lift,"Bukhari Commercial Area, DHA Phase 6",0.0,"proper family building

proper 02 b",Karachi
75,Owner Built 1 Kanal High Quality House With Large Lawn And Back Open To Park,"Bahria Town Phase 4, Bahria Town Rawalpindi",750000000.0,Triple Storey Owner Built 1 Kanal H,Rawalpindi
76,Low Price 10 Marla Corner House With Lawn At A Peaceful Location,"Bahria Town Phase 8, Bahria Town Rawalpindi",0.0,"Corner 10 Marla House With Lawn 
Pr",Rawalpindi
77,Amazing 12 Marla House On 60ft Boulevard Near Future World School,"Bahria Town Phase 8, Bahria Town Rawalpindi",237100000.0,Amazing 12 Marla House On 60ft Boul,Rawalpindi
78,House available forsale in green villas adiala road rawalpindi,"Snober City - Green Villas, Snober City",0.0,Brand new proper double unit house,Rawalpindi
79,Brand new house available forsale in adiala road snober city rawalpindi,"Snober City, Adiala Road",0.0,Brand new house available forsale i,Rawalpindi
80,Park Street Front Open 7 Marla Used House for Sale,"Bahria Town Phase 8 - Abu Bakar Block, Bahria Town Phase 8 - Safari Valley",3700000.0,"Park Street 
Front Open 
Most Prime",Rawalpindi
81,7 mrla brand new double unit house available for sale in usman block phase 8,"Bahria Town Phase 8 - Usman Block, Bahria Town Phase 8 - Safari Valley",290000000.0,7 mrla brand new double unit house,Rawalpindi
82,5 mrla brand new single unit house available for sale in phase 8 ali block,"Bahria Town Phase 8 - Ali Block, Bahria Town Phase 8 - Safari Valley",650000000.0,5 mrla brand new single unit house,Rawalpindi
83,1 Kanal And 5 Marla Luxury House In Bahria Town,"Bahria Town Phase 3, Bahria Town Rawalpindi",0.0,1 kanal and 5 Marla beautiful House,Rawalpindi
84,"Flat For sale In Rs. 31,500,000","Askari 14, Rawalpindi",0.0,3 bed SOUTH FACING FLAT FOR SALE As,Rawalpindi
